USER_ID,Video_ID,Please describe what you saw while watching the video.,What did you focus on while watching the video?,I felt like I was actually there in the environment of the video.,It seemed as though I actually took part in the action of the video.,It was as though my true location had shifted into the environment of the video.,I felt as though I was physically present in the environment of the video.,"On a scale of 0-10, 0 being how you felt coming in, 10 being that you want to stop, what is your discomfort level now?"
MITA71,10,A woman walking towards me as I traveled backwards facing her and a flying craft directly above.,At first the woman and especially the distortion around her head. Then I noticed the hovering craft.,4,3,4,4,0
MITA71,28,A car driving down a road in front of me and a drone filming the car directly below me.,"At first the car, then the drone, then what the drone what filming, then the sun directly above and back to the car.",3,3,3,3,0
MITA71,29,Pacman video game,My surroundings and the monsters trying to eat me.,5,5,5,5,0
MITA71,18,Being levitated up higher than a tall building. Drone right above me.,"At first the man beneath, then the drone, then the buildings, then the city surroundings, and as I started to go back down I focused on the ground.",5,5,5,5,0
MITA71,12,I saw a the city as in driving in a car with my head sticking out of the sunroof.,"The car ahead, the pedestrians, billboards, and the car I was in.",5,4,5,5,0
MITA71,25,"A mountain range with the ""Airpano"" logo floating above it.","The logo, details in the snow, and the range.",5,4,4,4,0
MITA71,4,A guy walking around in the video.,The guy walking around in the video.,4,3,4,3,0
MITA71,22,A guy using a photocopier.,"The guy using a photocopier, the photocopier, the sign on the fridge, the tripod beneath me.",3,2,3,2,0
MITA71,5,A herd of rhinoceroses eating.,The baby rhino eating.,4,3,3,3,0
MITA71,7,a forest,"Trees, cars, houses, whatever was most in focus.",4,4,4,4,0
MITA71,2,A mountain range.,The mountain range that was the most in focus.,4,3,4,4,0
MITA71,23,UTD students walking around in the corridors of SSB.,"The students walking by, especially the ones that looked directly at the camera.",3,3,4,4,0
MITA71,13,A elevator going up and down while being inside the elevator.,"The couch, the elevator button controls, the staircase.",4,3,4,4,0
MITA71,20,A hallway.,"The railing, the staircase, the tripod beneath me, the banners.",3,3,3,3,0
HURQCM,0,A herd of elephants walking towards the viewer,Generally the closest one-two elephants relative to the herd,2,2,1,2,0
HURQCM,19,A UTD computer lab with a few students working/studying on the desktops,"Nothing in particular, if anything the students studying.",1,1,1,1,0
HURQCM,1,A hilltop view of a sundown,"Mostly the godrays from the sun and the lower parts of the hill, nothing in particular",2,1,2,2,0
HURQCM,6,A dance troupe performed a dance all around me,Near the beginning the statuesque dancers to my sides were a bit of a distraction but as it went on the lead (True center) guy ended up being the source of my attention,2,3,1,3,0
HURQCM,9,"A real life driving video made to look like a video game (HUD, etc)","Primarily the road directly in front of the car, watching his racing line, checking to see he would stay on the road, etc",2,4,2,3,0
HURQCM,29,A pac-man style maze game complete with ghosts and pellets,It was very difficult as the player was constantly moving and rotating my view without my doing,1,3,1,2,2
HURQCM,26,A descending cliffside view of a waterfall,The way the water turned to mist over the course of the descent/The clouds hanging in the air,2,1,2,3,1
HURQCM,18,A first person perspective of a drone in a city ascending and then descending,"The nearest building was the primary focal point, with some of my time staring out at the distant buildings",3,3,4,4,2
HURQCM,27,.Two wingsuiters jumping out of a plane and towards a desert city,"Mostly the skydivers close to me, also a bit of the buildings that got near",2,3,1,2,0
HURQCM,3,A man in a boutique showing off the locale,"Primarily the man, but the camera was situated in a backwards leaning angle and was somewhat distracting",1,2,1,2,1
HURQCM,22,A man in a copy center making copies of some unseen document while the camera incessantly spins,It was split between focusing on the man and counteracting against the motion of the camera,1,1,1,1,4
HURQCM,23,"A view from the front of ECSS at UTD as students stand, talk, walk by etc","Nothing in particular, if anything the front doors.",1,1,1,2,1
HURQCM,11,"What appeared to be a Byzantine chariot race from a first person, racer, persepctive",Primarily the horses directly in front of me and the other racers,1,3,2,3,0
HURQCM,13,An elevator in an art gallery went up and then down again,"Mostly the area directly outside of the elevator, such as art on the adjacent walls",1,2,1,2,0
HURQCM,7,A slowly moving view of a forrested mountainside,Primarily the trees that were directly in front of/below me,2,2,1,2,0
JAKTKV,0,elephants,the closest elephant,5,4,4,5,0
JAKTKV,27,jumping from the aircraft,the ground,4,4,4,5,0
JAKTKV,17,jumping into the air,the buildings,5,4,4,4,0
JAKTKV,22,in the office,the screen is shaking,3,4,3,4,2
JAKTKV,1,mountains and sunset,the mountains and grass,5,4,4,4,0
JAKTKV,11,riding hourses,the sand and the hair ,5,4,4,4,0
JAKTKV,30,in the airplane,the ground and sky,5,5,4,4,0
JAKTKV,7,forests and mountains,trees,5,4,4,5,0
JAKTKV,26,"warterfall, rainbow","the water, rainbow",5,4,5,4,0
JAKTKV,24,near SU,"the students
the screen is shaking",3,3,4,4,3
JAKTKV,10,in the forest,sometimes the woman is not complete,4,4,4,3,1
JAKTKV,3,in a big house,the closes and the man,5,4,4,5,0
JAKTKV,19,in the office,the screen is shaking,3,3,3,3,3
JAKTKV,14,in the elevator,the building,5,5,4,5,0
JAKTKV,5,wild animals,the grass ,5,4,4,5,0
APUOOC,0,I saw several elephants slowly walking towards me,I focused on the elephant that got nearest to me/ the camera,4,3,3,4,1
APUOOC,21,"I saw a man walking through a house, presumably talking about it's features",The room itself,5,5,4,4,1
APUOOC,7,Ariel shots of a mountainous forest area , The ground. How low the resolution was.,2,2,2,2,1
APUOOC,20,ECS North.,The camera spinning without my input. That sort of took me out of the experience.,4,1,4,2,2
APUOOC,17,A Keemah Boardwalk ride that rockets you upward to see a clear shot of the city.,The girl behind the camera,5,5,5,5,1
APUOOC,4,Some students hanging around ECS West,"The student that walked away from the window. Because the camera was static and my head movements controlled my vision, it truly felt like I was in the room.",5,5,5,5,1
APUOOC,29,A pac-man level with the accompanying ghosts,"The twists in the maze ahead of me. For a brief moment, it felt like I was controlling movements with my head movements. But when control was wrested from me it broke the illusion. The quick camera moments did make me feel somewhat nauseated. ",5,3,4,4,3
APUOOC,2,A rocky mountain range,The sky,5,5,5,5,1
APUOOC,6,People dancing in a circle around me.,"The lead female dancer on the right side of me. When all the dancers moved their hands quickly towards the camera, it startled me somewhat.",5,5,5,5,2
APUOOC,12,A car ride through New York City.,"The street in front of me, the skyscrapers, and the signs passing by.",5,4,4,4,2
APUOOC,26,Shots descending down a waterfall in a mountain,The trees beside me. The resolution of the video was too low for me to truly feel immersed in the environment.,2,2,2,2,2
APUOOC,9,A car race with a futuristic HUD displaying speed and map data.,The car in front of me. I felt particularly immersed in this video and mimicked using my head movements to turn the car.,5,5,5,5,1
APUOOC,27,Airsuit flying over the city of Dubai.,The person flying with me and the buildings we were just narrowly avoiding.,5,5,5,5,3
APUOOC,23,The front of ECS South.,"The people walking by, I tried to see if I could recognize any faces.",3,3,3,3,4
APUOOC,14,A high speed elevator going up and then down.,The glass floors passing by.,4,4,4,4,3
6Q9DTK,0,I saw 4-5 elephants walking across a plain open field.,I mainly focused on the grass and landscape of the video which was being played.,3,3,3,2,0
6Q9DTK,21,I saw a man describing things while he talked in what looked like a penthouse or a apartment on a high building,I focused on the man mostly after I saw my environment.,4,3,2,2,0
6Q9DTK,4,At first I saw two people who were sitting at a desk then one person started walking around.,The man who was walking around,3,4,3,3,0
6Q9DTK,28,I saw a car driving on a road while a drone was moving to record the video,I focused on the car,4,3,3,3,0
6Q9DTK,13,I saw that there was an elevator which was going up and down,I focused mainly on the movement of the elevator,4,3,3,3,0
6Q9DTK,18,I saw a drone fly up in the air to get a better view of the city,I focused mainly on the landscape of the city,3,3,3,2,0
6Q9DTK,11,I saw horses which were racing with chariots.,I focused on the horses and the race,4,3,4,3,0
6Q9DTK,7,I saw mountains and forests,I focused on the environment and tried to grasp it.,4,3,4,3,0
6Q9DTK,9,I saw cars racing each other,I focused on the HUD which was giving telemetry of the cars information.,3,4,4,3,0
6Q9DTK,24,I saw that I was at the UT Dallas campus,I focused on the people walking and the buildings,4,3,3,3,0
6Q9DTK,1,I saw the sunset and the grasslands behind me,I focused on the grasslands and how they were red because of the sun setting and also the sun itself.,3,4,4,3,0
6Q9DTK,30,I saw fighter jets which were flying in a formation.,I focused on the jet but then the person in the backseat of the which was taking a video/,4,3,3,4,0
6Q9DTK,26,I saw a waterfall then I turned around and saw a lush forest.,I focused on the waterfall and the forest,4,4,4,3,0
6Q9DTK,5,I was rhinos which were grazing and feeding on the grass,I focused on the rhinos,3,3,4,3,0
6Q9DTK,19,I saw that I am in the room that I am currently watching the VR sim. I saw three people working on work,I focused mainly on the three people,3,2,2,3,0
2Z5V9L,0,Some elephants going around,The nearest elephant,4,4,4,3,0
2Z5V9L,23,Students in the hallway,Approaching students,4,4,4,3,0
2Z5V9L,8,Flying over the ocean,Beach and the jungle by the ocean,5,4,4,4,0
2Z5V9L,4,Two students hanging around,The moving student,3,2,3,2,0
2Z5V9L,6,Crew of dancers over the area,"The most moving dancer, and also following their lead",4,4,5,4,0
2Z5V9L,17,Superman tower over six flags!,The height it was reaching.,3,3,5,5,0
2Z5V9L,9,Two car racing,the other vehicle,5,5,5,5,0
2Z5V9L,11,Competition in ancient Rome,The monuments in the middle of the field,3,3,3,4,0
2Z5V9L,21,A penthouse,The guy showing around,4,3,4,4,0
2Z5V9L,2,Mountains and clouds,Movement of the clouds and their shadows,4,4,4,3,0
2Z5V9L,14,An elevator going up and down,The view of the building just by the elevator,5,4,5,5,0
2Z5V9L,27,Jumping of a helicopter,The view of the ground,5,4,5,5,0
2Z5V9L,25,Flying over snowy mountains,"Snow over the mountains, the view",5,5,5,5,0
2Z5V9L,20,Hallway,Banners,4,4,4,4,0
2Z5V9L,29,Pacman,Pacman minions,5,5,5,5,0
YHSYQO,0,a herd on elephants was passing through,"I was worry about the single elephant :D 
Also, I was focusing on the closest elephant ",3,2,2,2,0
YHSYQO,19,The lab and three students working on their researches!!,"I was trying to read the texts on the posters on lab's wall. basically, trying to judge about the quality of video ",1,1,2,2,2
YHSYQO,23,the front desk and entrance of ECS building ,trying to detect my friends and colleagues coming in the building,2,2,3,1,0
YHSYQO,5,a bunch of rhino were eating grass,the way how they eat and specially how the baby rhino was eating food,3,2,2,2,0
YHSYQO,18,"a city from the top, using a drone ",buildings and the height of camera going up and up!,2,1,2,1,0
